Matrikkel / Org-Anr,Address,Housing type,Primary room,Usable area,Gross area,Year of construction,Floor,Plot size,Last sold,Price,Joint debt at last sale,Total price at last sale,Number of rooms,Number of bedrooms,Registered date,Turnover rate,Broker,Postal code,Area name,Days since first sold,Broker encoded,Housing type encoded,Balcony_Yes,Parking_Yes,Lat,Lon
5001-187/143/0/0,"Lægdgrinda 32, 7026 TRONDHEIM",Selveier tomannsbolig,128,138,151,2005.0,0,253.5,2021-03-02,4500000,0.0,4500000,5,3,2021-02-19,11,Heimdal Eiendomsmegling,7026,TRONDHEIM,2,4,6,1,0,63.3844,10.3288
981622065/7,"Laura Hangerås' veg 4 C, 7026 TRONDHEIM",Borettslagsleilighet,91,95,95,2000.0,2,4390.9,2021-03-02,2890000,539453.0,3429453,4,2,2021-02-22,8,Meglerhuset Nylander,7026,TRONDHEIM,2,7,3,0,0,63.3844,10.3288
5001-48/180/0/21,"Wilhelm K. Størens veg 59, 7048 TRONDHEIM",Selveierleilighet,35,44,48,2007.0,1,13071.3,2021-03-02,2270000,2720.0,2272720,2,1,2021-02-19,11,Eiendomsmegler 1,7048,TRONDHEIM,2,3,7,1,1,63.4122,10.4696
948722585/227,"Karolinerveien 7 A, 7021 TRONDHEIM",Borettslagsleilighet,31,31,34,1966.0,1,44327.8,2021-03-02,1980000,15200.0,1995200,1,1,2021-02-19,11,Eiendomsmegler 1,7021,TRONDHEIM,2,3,3,0,1,63.4105,10.3646
948659158/29,"Fredrikke Qvams veg 20 E, 7046 TRONDHEIM",Borettslagsleilighet,67,67,73,1960.0,3,30239.4,2021-03-02,3950000,91568.0,4041568,3,3,2020-09-04,179,DNB Eiendom,7046,TRONDHEIM,2,1,3,1,1,63.4247,10.4474
5001-49/310/0/13,"Øvre Granåslia 13, 7047 TRONDHEIM",Selveierleilighet,57,78,84,2020.0,2,5519.6,2021-03-02,3790000,0.0,3790000,1,2,2021-02-19,11,DNB Eiendom,7047,TRONDHEIM,2,1,7,1,0,63.4204,10.4708
5001-412/411/0/41,"Julianus Holms veg 26, 7041 TRONDHEIM",Selveierleilighet,40,40,44,2015.0,1,1659.2,2021-03-02,2685000,0.0,2685000,2,1,2021-02-22,8,DNB Eiendom,7041,TRONDHEIM,2,1,7,1,0,63.4449,10.4454
948722585/227,"Karolinerveien 7 A, 7021 TRONDHEIM",Borettslagsleilighet,31,31,34,1966.0,1,44327.8,2021-03-02,1980000,15200.0,1995200,1,1,2021-02-19,11,Eiendomsmegler 1,7021,TRONDHEIM,2,3,3,0,1,63.4105,10.3646
5001-66/322/0/0,"Astri Aasens veg 17 A, 7051 TRONDHEIM",Selveier tomannsbolig,126,133,146,1955.0,0,529.6,2021-03-02,7150000,0.0,7150000,4,3,2021-02-22,8,Meglerhuset Nylander,7051,TRONDHEIM,2,7,6,1,0,63.4151,10.4189
5001-409/27/0/3,"Kirkegata 12 D, 7014 TRONDHEIM",Selveierleilighet,52,52,57,1880.0,1,297.0,2021-03-02,3650000,0.0,3650000,3,2,2021-02-19,11,Eiendomsmegler 1,7014,TRONDHEIM,2,3,7,0,0,63.4303,10.4094
5001-29/150/0/24,"Solveig Abrahamsens veg 20 E, 7054 RANHEIM",Selveier enebolig,85,85,85,2018.0,0,2975.0,2021-03-02,4540000,0.0,4540000,4,3,2021-02-19,11,Eiendomsmegler 1,7054,RANHEIM,2,3,4,0,0,63.4215,10.5451
5001-406/234/0/4,"Eidsvolls gate 34, 7052 TRONDHEIM",Selveierleilighet,0,94,94,1920.0,1,737.6,2021-03-03,2850000,0.0,2850000,4,3,2021-03-03,0,Other,7052,TRONDHEIM,3,8,7,0,0,63.4225,10.4239
5001-73/271/0/75,"Sorgenfriveien 26, 7031 TRONDHEIM",Selveierleilighet,32,36,36,2020.0,7,1198.1,2021-03-03,3050000,0.0,3050000,2,1,2021-02-24,7,Heimdal Eiendomsmegling,7031,TRONDHEIM,3,4,7,0,0,63.4068,10.401
950117427/340,"Kolstadtunet 8 B, 7098 SAUPSTAD",Borettslagsleilighet,92,94,94,1971.0,4,100498.6,2021-03-03,2220000,73500.0,2293500,4,3,2021-02-23,8,Eiendomsmegler 1,7098,SAUPSTAD,3,3,3,0,0,63.3689,10.3568
5001-66/387/0/0,"Bregnevegen 58 A, 7050 TRONDHEIM",Selveier rekkehus,115,127,142,1966.0,0,214.9,2021-03-03,4615000,0.0,4615000,4,3,2021-02-24,7,Privatmegleren,7050,TRONDHEIM,3,9,5,0,0,63.4124,10.4311
5001-49/312/0/27,"Øvre Granåslia 23, 7047 TRONDHEIM",Selveierleilighet,55,62,62,2020.0,1,6534.8,2021-03-03,3700000,0.0,3700000,3,2,2021-01-29,33,Heimdal Eiendomsmegling,7047,TRONDHEIM,3,4,7,0,0,63.4204,10.4708
948924781/189,"Einar Øfstis veg 43, 7033 TRONDHEIM",Borettslagsleilighet,35,35,38,1967.0,2,9583.3,2021-03-03,1920000,171115.0,2091115,2,1,2021-02-22,9,Eiendomsmegler 1,7033,TRONDHEIM,3,3,3,0,0,63.4022,10.4305
988131458/8,"Anton Bergs veg 24 B, 7099 FLATÅSEN",Borettslagsleilighet,100,106,116,2006.0,1,7304.1,2021-03-03,2520000,817163.0,3337163,4,3,2020-09-19,165,Privatmegleren,7099,FLATÅSEN,3,9,3,0,1,63.3761,10.3505
5001-17/860/0/179,"Strindfjordvegen 6, 7053 RANHEIM",Selveierleilighet,62,66,73,2017.0,2,14880.0,2021-03-03,3790000,0.0,3790000,3,2,2021-02-18,13,DNB Eiendom,7053,RANHEIM,3,1,7,1,0,63.4322,10.5095
948717867/85,"Olav Engelbrektssons alle 46, 7040 TRONDHEIM",Borettslagsleilighet,67,67,74,1955.0,1,7271.5,2021-03-03,2675000,239220.0,2914220,3,2,2021-02-16,15,DNB Eiendom,7040,TRONDHEIM,3,1,3,0,0,63.4504,10.4456
5001-409/418/0/0,"Asbjørnsens gate 13, 7052 TRONDHEIM",Selveier tomannsbolig,259,346,375,1931.0,0,759.4,2021-03-03,13125000,0.0,13125000,9,8,2021-02-19,12,Heimdal Eiendomsmegling,7052,TRONDHEIM,3,4,6,1,0,63.4225,10.4239
963954735/210,"Lillebergvegen 6 B, 7052 TRONDHEIM",Borettslagsleilighet,36,36,39,1962.0,2,5022.7,2021-03-03,2490000,1160.0,2491160,2,1,2021-02-19,12,Eiendomsmegler 1,7052,TRONDHEIM,3,3,3,0,0,63.4225,10.4239
5001-68/381/0/0,"Sunnlandsskrenten 1 A, 7032 TRONDHEIM",Selveier enebolig,170,203,223,1962.0,0,627.4,2021-03-03,7900000,0.0,7900000,7,6,2021-02-18,13,Heimdal Eiendomsmegling,7032,TRONDHEIM,3,4,4,1,0,63.4078,10.4144
954872416/170,"Edgar B. Schieldrops veg 22 B, 7033 TRONDHEIM",Borettslagsleilighet,64,64,69,1973.0,2,56058.1,2021-03-03,2970000,316865.0,3286865,2,2,2021-02-13,18,Heimdal Eiendomsmegling,7033,TRONDHEIM,3,4,3,1,0,63.4022,10.4305
5001-73/271/0/66,"Sorgenfriveien 26, 7031 TRONDHEIM",Selveierleilighet,57,61,61,2019.0,5,1198.1,2021-03-03,4190000,0.0,4190000,3,2,2021-01-01,61,EIE Eiendomsmegling,7031,TRONDHEIM,3,2,7,1,0,63.4068,10.401
959309728/32,"Klæbuveien 46, 7030 TRONDHEIM",Borettslagsleilighet,68,68,75,1952.0,4,781.0,2021-03-03,3650000,96056.0,3746056,3,2,2021-02-25,6,Meglerhuset Nylander,7030,TRONDHEIM,3,7,3,1,1,63.4206,10.3973
5001-97/1165/0/3,"Skjermvegen 68 D, 7023 TRONDHEIM",Selveier rekkehus,0,158,158,2021.0,0,0.0,2021-03-03,5950000,0.0,5950000,5,4,2021-03-03,0,Other,7023,TRONDHEIM,3,8,5,0,0,63.3966,10.3642
5001-415/233/0/49,"Stjørdalsveien 17, 7066 TRONDHEIM",Selveierleilighet,43,43,43,2017.0,3,890.7,2021-03-03,3100000,0.0,3100000,3,2,2021-03-03,0,Other,7066,TRONDHEIM,3,8,7,0,0,63.442,10.4367
5001-97/270/0/16,"Midelfarts veg 40, 7022 TRONDHEIM",Selveierleilighet,90,90,99,2015.0,4,18119.0,2021-03-03,6200000,0.0,6200000,3,2,2021-02-19,12,Proaktiv,7022,TRONDHEIM,3,10,7,0,0,63.4018,10.361
5001-324/65/0/0,"Movollen 35, 7091 TILLER",Selveier rekkehus,159,179,204,2009.0,0,176.4,2021-03-03,5700000,0.0,5700000,4,4,2021-03-03,0,Eiendomsmegler 1,7091,TILLER,3,3,5,1,0,63.3619,10.3898
5001-410/652/0/41,"Dokkgata 2 B, 7042 TRONDHEIM",Selveierleilighet,73,78,85,1998.0,4,2634.9,2021-03-03,5650000,0.0,5650000,3,2,2020-12-27,66,Eiendomsmegler 1,7042,TRONDHEIM,3,3,7,1,0,63.4364,10.4134
5001-71/6/0/2,"Klæbuveien 221 B, 7037 TRONDHEIM",Selveierleilighet,69,74,80,2014.0,1,974.6,2021-03-03,3750000,0.0,3750000,3,2,2020-03-11,357,Eiendomsmegler 1,7037,TRONDHEIM,3,3,7,1,0,63.3941,10.4113
986896244/116,"Ratesvingen 12, 7038 TRONDHEIM",Borettslagsleilighet,52,52,58,2007.0,1,2997.7,2021-03-03,1730000,625180.0,2355180,2,1,2021-02-24,7,Proaktiv,7038,TRONDHEIM,3,10,3,1,1,63.3864,10.401
5001-17/801/0/7,"Anton Jenssens veg 100 B, 7053 RANHEIM",Selveierleilighet,100,100,107,2006.0,2,1873.0,2021-03-03,4250000,0.0,4250000,4,3,2021-02-17,14,Eiendomsmegler 1,7053,RANHEIM,3,3,7,1,1,63.4322,10.5095
959395187/21,"Nyheimsvegen 23 D, 7058 CHARLOTTENLUND",Borettslagsleilighet,70,70,78,1959.0,2,3448.5,2021-03-03,2550000,375199.0,2925199,3,2,2021-02-23,8,Krogsveen,7058,CHARLOTTENLUND,3,5,3,0,0,63.4239,10.4927
5001-97/270/0/104,"Midelfarts veg 48, 7022 TRONDHEIM",Selveierleilighet,83,83,83,2015.0,4,18119.0,2021-03-04,5750000,0.0,5750000,3,2,2021-02-25,7,Meglerhuset Nylander,7022,TRONDHEIM,4,7,7,1,0,63.4018,10.361
5001-97/270/0/50,"Midelfarts veg 44, 7022 TRONDHEIM",Selveierleilighet,41,43,48,2015.0,2,18119.0,2021-03-04,2900000,0.0,2900000,2,1,2021-02-25,7,Meglerhuset Nylander,7022,TRONDHEIM,4,7,7,0,0,63.4018,10.361
5001-409/241/0/0,"Nedre Møllenberg gate 39 B, 7014 TRONDHEIM",Selveier enebolig,166,182,217,1877.0,0,293.7,2021-03-04,7500000,0.0,7500000,5,4,2021-01-17,46,EIE Eiendomsmegling,7014,TRONDHEIM,4,2,4,0,0,63.4303,10.4094
5001-409/477/0/3,"Kirkegata 17 B, 7014 TRONDHEIM",Selveierleilighet,86,86,96,1896.0,2,303.8,2021-03-04,3900000,0.0,3900000,5,4,2021-03-04,0,Heimdal Eiendomsmegling,7014,TRONDHEIM,4,4,7,1,1,63.4303,10.4094
5001-48/152/0/34,"Haakon Odd Christiansens veg 37, 7048 TRONDHEIM",Selveierleilighet,36,45,49,2006.0,2,8018.9,2021-03-04,2370000,0.0,2370000,2,1,2021-02-24,8,DNB Eiendom,7048,TRONDHEIM,4,1,7,1,0,63.4122,10.4696
5001-423/206/0/0,"Schiøtz' vei 2, 7020 TRONDHEIM",Selveier enebolig,171,206,206,1951.0,0,1044.5,2021-03-04,7700000,0.0,7700000,4,3,2021-02-22,10,Privatmegleren,7020,TRONDHEIM,4,9,4,1,0,63.4194,10.3541
5001-19/443/0/2,"Brattvollvegen 12 C, 7056 RANHEIM",Selveier tomannsbolig,136,141,141,2018.0,0,678.0,2021-03-04,5590000,0.0,5590000,5,4,2021-02-23,9,DNB Eiendom,7056,RANHEIM,4,1,6,1,0,63.4236,10.5179
954872416/225,"Arne Fjellbus veg 4 B, 7033 TRONDHEIM",Borettslagsleilighet,65,65,72,1972.0,3,51978.0,2021-03-04,3350000,316865.0,3666865,2,2,2021-02-24,8,Proaktiv,7033,TRONDHEIM,4,10,3,1,1,63.4022,10.4305
5001-79/211/0/0,"Utleirvegen 39 D, 7033 TRONDHEIM",Selveier rekkehus,139,139,151,1963.0,0,100.7,2021-03-04,4655000,0.0,4655000,5,4,2021-02-25,7,Proaktiv,7033,TRONDHEIM,4,10,5,1,0,63.4022,10.4305
955784863/75,"Ole A. Wolds veg 6, 7069 TRONDHEIM",Borettslagsleilighet,77,77,84,1969.0,3,33536.4,2021-03-04,3120000,37699.0,3157699,3,2,2021-02-24,8,Eiendomsmegler 1,7069,TRONDHEIM,4,3,3,1,1,63.4154,10.4484
985631433/54,"Ole Aasveds veg 4, 7049 TRONDHEIM",Borettslagsleilighet,60,60,64,2003.0,2,5748.9,2021-03-04,1960000,496695.0,2456695,3,1,2021-01-27,36,Eiendomsmegler 1,7049,TRONDHEIM,4,3,3,1,0,63.4044,10.4535
5001-411/170/0/29,"Mellomveien 18 B, 7067 TRONDHEIM",Selveierleilighet,0,80,80,1920.0,1,2480.8,2021-03-04,4400000,0.0,4400000,3,2,2021-03-04,0,Other,7067,TRONDHEIM,4,8,7,0,0,63.438,10.4277
5001-101/58/0/0,"Gammel-lina 16, 7028 TRONDHEIM",Selveier enebolig,226,270,292,1947.0,0,1464.0,2021-03-04,5750000,0.0,5750000,6,5,2021-02-19,13,EIE Eiendomsmegling,7028,TRONDHEIM,4,2,4,0,1,63.388,10.3732
5001-401/216/0/20,"Danielsbakerveita 7, 7010 TRONDHEIM",Selveierleilighet,46,50,55,2004.0,3,837.2,2021-03-04,3300000,0.0,3300000,2,1,2021-02-24,8,Meglerhuset Nylander,7010,TRONDHEIM,4,7,7,0,0,63.435,10.3997
5001-29/153/0/16,"Solveig Abrahamsens veg 24, 7054 RANHEIM",Selveierleilighet,67,70,70,2020.0,3,3096.4,2021-03-04,4000000,0.0,4000000,3,2,2021-03-04,0,Other,7054,RANHEIM,4,8,7,1,0,63.4215,10.5451
5001-410/693/0/56,"Dyre Halses gate 2, 7042 TRONDHEIM",Selveierleilighet,59,59,65,2006.0,6,1532.9,2021-03-04,4650000,11192.0,4661192,3,2,2021-02-24,8,Privatmegleren,7042,TRONDHEIM,4,9,7,1,0,63.4364,10.4134
5001-416/158/0/0,"Nidareid 1, 7017 TRONDHEIM",Selveier enebolig,180,285,331,1936.0,0,596.5,2021-03-04,9000000,0.0,9000000,6,3,2020-10-19,136,Privatmegleren,7017,TRONDHEIM,4,9,4,0,0,63.4255,10.3705
5001-421/316/0/5,"Osloveien 8, 7017 TRONDHEIM",Selveierleilighet,47,47,52,1914.0,3,523.7,2021-03-04,3390000,0.0,3390000,2,1,2021-02-26,6,Privatmegleren,7017,TRONDHEIM,4,9,7,0,0,63.4255,10.3705
5001-65/33/0/0,"Kringsjåvegen 45 C, 7032 TRONDHEIM",Selveier enebolig,146,166,166,2017.0,0,518.9,2021-03-04,9800000,0.0,9800000,5,4,2021-02-22,10,Meglerhuset Nylander,7032,TRONDHEIM,4,7,4,1,0,63.4078,10.4144
5001-323/2413/0/0,"Ivar Reitens veg 11, 7091 TILLER",Selveier rekkehus,158,172,188,2016.0,0,280.4,2021-03-04,5700000,0.0,5700000,4,3,2021-02-24,8,Privatmegleren,7091,TILLER,4,9,5,1,0,63.3619,10.3898
5001-411/110/0/94,"Innherredsveien 86 A, 7067 TRONDHEIM",Selveierleilighet,52,52,55,1936.0,3,6064.3,2021-03-04,2850000,22512.0,2872512,2,1,2021-02-25,7,Proaktiv,7067,TRONDHEIM,4,10,7,1,1,63.438,10.4277
5001-14/183/0/0,"Åkervegen 7 C, 7046 TRONDHEIM",Selveier enebolig,226,257,280,1995.0,0,610.5,2021-03-04,9500000,0.0,9500000,7,4,2021-02-23,9,Proaktiv,7046,TRONDHEIM,4,10,4,1,0,63.4247,10.4474
5001-59/151/0/1,"Paul Fjermstads veg 7, 7052 TRONDHEIM",Selveierleilighet,90,90,103,1956.0,1,1090.0,2021-03-04,4400000,0.0,4400000,3,2,2021-02-20,12,DNB Eiendom,7052,TRONDHEIM,4,1,7,1,1,63.4225,10.4239
5001-52/225/0/89,"Heggdalsringen 59, 7049 TRONDHEIM",Selveierleilighet,29,29,31,2019.0,1,2759.0,2021-03-05,2385000,0.0,2385000,0,1,2021-02-26,7,Privatmegleren,7049,TRONDHEIM,5,9,7,0,0,63.4044,10.4535
5001-198/7/0/0,"Kirkeringen 4, 7080 HEIMDAL",Selveier enebolig,66,59,59,2021.0,3,2907.0,2021-03-05,3660000,0.0,3660000,3,2,2020-12-11,84,Heimdal Eiendomsmegling,7080,HEIMDAL,5,4,4,1,0,63.3477,10.3538
5001-4/14/0/79,"Gildheimsvegen 7 A, 7044 TRONDHEIM",Selveierleilighet,68,72,72,2013.0,2,8657.3,2021-03-05,4320000,0.0,4320000,3,2,2021-02-24,9,DNB Eiendom,7044,TRONDHEIM,5,1,7,1,0,63.4364,10.4562
5001-194/261/0/0,"Nyveilia 86, 7072 HEIMDAL",Selveier rekkehus,111,113,122,1981.0,0,152.7,2021-03-05,3000000,0.0,3000000,4,3,2021-02-27,6,DNB Eiendom,7072,HEIMDAL,5,1,5,1,0,63.3517,10.365
5001-49/308/0/23,"Øvre Granåslia 9, 7047 TRONDHEIM",Selveierleilighet,53,64,70,2019.0,2,6153.3,2021-03-05,3650000,0.0,3650000,3,2,2021-02-25,8,Privatmegleren,7047,TRONDHEIM,5,9,7,1,0,63.4204,10.4708
5001-24/419/0/6,"Horgvegen 2, 7055 RANHEIM",Selveierleilighet,73,77,82,2013.0,1,3529.5,2021-03-05,3590000,0.0,3590000,3,2,2020-10-23,133,Eiendomsmegler 1,7055,RANHEIM,5,3,7,1,0,63.43,10.5473
5001-177/823/0/20,"Johan Arnt Høiseths veg 20, 7089 HEIMDAL",Selveier rekkehus,0,126,126,2021.0,0,0.0,2021-03-05,4450000,0.0,4450000,5,4,2021-03-05,0,Other,7089,HEIMDAL,5,8,5,0,0,63.3539,10.3105
951497940/292,"Vestre Hallsetvangen 1 B, 7027 TRONDHEIM",Borettslagsleilighet,29,29,32,1968.0,2,40014.4,2021-03-05,1850000,122109.0,1972109,1,1,2021-01-27,37,Eiendomsmegler 1,7027,TRONDHEIM,5,3,3,0,0,63.39,10.3634
5001-410/668/0/104,"Trenerys gate 4, 7042 TRONDHEIM",Selveierleilighet,54,57,68,2003.0,4,6553.7,2021-03-05,4430000,0.0,4430000,2,1,2021-03-01,4,Meglerhuset Nylander,7042,TRONDHEIM,5,7,7,1,0,63.4364,10.4134
848819662/91,"Øvre Flatåsveg 9 B, 7079 FLATÅSEN",Borettslagsleilighet,57,58,65,1976.0,2,94067.0,2021-03-05,2290000,70894.0,2360894,2,1,2021-02-25,8,Heimdal Eiendomsmegling,7079,FLATÅSEN,5,4,3,0,0,63.377,10.3375
5001-401/109/0/11,"Taraldsgårdsveita 7, 7010 TRONDHEIM",Selveierleilighet,41,41,44,2004.0,3,298.5,2021-03-05,2920000,0.0,2920000,2,1,2021-02-26,7,Eiendomsmegler 1,7010,TRONDHEIM,5,3,7,1,0,63.435,10.3997
5001-104/101/0/0,"Nils Uhlin Hansens veg 19, 7026 TRONDHEIM",Selveier enebolig,92,92,99,1929.0,0,766.3,2021-03-05,4040000,0.0,4040000,4,3,2020-09-26,160,EIE Eiendomsmegling,7026,TRONDHEIM,5,2,4,1,0,63.3844,10.3288
5001-104/1517/0/0,"Enromvegen 50, 7026 TRONDHEIM",Selveier tomannsbolig,113,115,128,1987.0,0,363.1,2021-03-05,5600000,0.0,5600000,4,3,2021-02-26,7,Eiendomsmegler 1,7026,TRONDHEIM,5,3,6,0,0,63.3844,10.3288
5001-411/81/0/1,"Frostaveien 12, 7068 TRONDHEIM",Selveierleilighet,33,33,40,1910.0,1,822.3,2021-03-05,1990000,40622.0,2030622,2,1,2021-02-13,20,Eiendomsmegler 1,7068,TRONDHEIM,5,3,7,0,0,63.4357,10.4286
5001-424/16/0/0,"Gamle Oslovei 54, 7020 TRONDHEIM",Selveier tomannsbolig,226,267,295,1961.0,0,604.5,2021-03-05,6950000,0.0,6950000,6,5,2021-02-22,11,Eiendomsmegler 1,7020,TRONDHEIM,5,3,6,0,0,63.4194,10.3541
5001-103/1082/0/0,"Dalstien 15, 7024 TRONDHEIM",Selveier enebolig,135,150,165,1978.0,0,434.4,2021-03-05,6050000,0.0,6050000,4,3,2021-02-22,11,Eiendomsmegler 1,7024,TRONDHEIM,5,3,4,1,0,63.3957,10.3237
5001-425/2/0/19,"Gamle Oslovei 5, 7020 TRONDHEIM",Selveierleilighet,93,93,102,2017.0,3,3143.3,2021-03-05,8000000,0.0,8000000,3,3,2021-02-21,12,Privatmegleren,7020,TRONDHEIM,5,9,7,0,0,63.4194,10.3541
5001-422/160/0/2,"Oscar Wistings vei 20, 7020 TRONDHEIM",Selveierleilighet,0,150,150,2021.0,1,1127.6,2021-03-05,9900000,0.0,9900000,3,2,2021-03-05,0,Other,7020,TRONDHEIM,5,8,7,0,0,63.4194,10.3541
5001-98/270/0/0,"Hoemshøgda 36 C, 7023 TRONDHEIM",Selveier rekkehus,115,118,129,1966.0,0,179.0,2021-03-05,4820000,0.0,4820000,4,3,2021-02-25,8,Heimdal Eiendomsmegling,7023,TRONDHEIM,5,4,5,1,0,63.3966,10.3642
5001-521/519/0/10,"Granmovegen 18, 7540 KLÆBU",Selveierleilighet,68,68,68,2018.0,1,2190.4,2021-03-05,2950000,0.0,2950000,3,2,2021-02-23,10,Eiendomsmegler 1,7540,KLÆBU,5,3,7,1,0,63.2976,10.4826
919077646/15,"Stjørdalsveien 21, 7066 TRONDHEIM",Borettslagsleilighet,28,28,30,2017.0,1,1067.7,2021-03-05,1320000,1010000.0,2330000,2,1,2021-02-26,7,DNB Eiendom,7066,TRONDHEIM,5,1,3,0,0,63.442,10.4367
5001-21/755/0/0,"Røsslyngvegen 18 B, 7058 CHARLOTTENLUND",Selveier enebolig,142,156,172,1965.0,0,165.0,2021-03-05,5000000,0.0,5000000,4,3,2021-02-25,8,Privatmegleren,7058,CHARLOTTENLUND,5,9,4,1,0,63.4239,10.4927
5001-98/290/0/0,"Hoemshøgda 48 C, 7023 TRONDHEIM",Selveier rekkehus,108,130,0,1966.0,0,159.0,2021-03-05,4100000,0.0,4100000,4,3,2021-02-25,8,DNB Eiendom,7023,TRONDHEIM,5,1,5,1,0,63.3966,10.3642
5001-411/201/0/37,"Anders Buens gate 17, 7067 TRONDHEIM",Selveierleilighet,46,46,51,1938.0,3,1533.2,2021-03-05,2875000,143608.0,3018608,2,1,2021-02-23,10,DNB Eiendom,7067,TRONDHEIM,5,1,7,1,0,63.438,10.4277
954872416/153,"Edgar B. Schieldrops veg 20 A, 7033 TRONDHEIM",Borettslagsleilighet,73,73,73,1973.0,3,56058.1,2021-03-05,2940000,362921.0,3302921,3,2,2021-02-25,8,Eiendomsmegler 1,7033,TRONDHEIM,5,3,3,0,0,63.4022,10.4305
5001-59/1/3/1,"Jonsvannsveien 19 A, 7052 TRONDHEIM",Selveierleilighet,56,56,63,1928.0,1,966.8,2021-03-05,3600000,0.0,3600000,2,1,2021-02-24,9,EIE Eiendomsmegling,7052,TRONDHEIM,5,2,7,0,0,63.4225,10.4239
